Fold,Actual_CBR,Predicted_CBR,Residual
2,24.9,23.7845,1.1155
2,41.56,33.1472,8.4128
2,11.89,15.0221,3.1321
2,38.58,36.7844,1.7956
2,9.51,9.7412,0.2312
2,0.264,0.3297,0.0657
2,0.203,0.3297,0.1267
2,0.3523,0.3297,0.0226
2,0.552,0.3297,0.2223
2,0.291,0.3297,0.0387
2,0.376,0.3297,0.0463
2,0.418,0.3297,0.0883
2,0.245,0.3297,0.0847
2,0.244,0.3826,0.1386
2,0.263,0.3297,0.0667
2,0.3,0.3297,0.0297
2,0.353,0.3479,0.0051
2,0.353,0.3297,0.0233
2,0.348,0.3297,0.0183
2,0.287,0.3297,0.0427
2,0.473,0.495,0.022
2,0.284,0.3297,0.0457
2,0.332,0.3645,0.0325
2,0.46,0.3297,0.1303
2,0.284,0.3297,0.0457
2,0.262,0.3297,0.0677
2,0.459,0.3297,0.1293
2,0.159,0.3297,0.1707
2,0.218,0.3297,0.1117
2,0.218,0.3297,0.1117
2,0.658,0.5954,0.0626
2,0.182,0.3297,0.1477
2,0.159,0.3297,0.1707
2,0.247,0.3297,0.0827
2,0.372,0.3826,0.0106
2,0.471,0.3826,0.0884
2,0.309,0.3297,0.0207
2,0.619,0.495,0.124
2,0.353,0.3645,0.0115
2,0.9,0.6318,0.2682
2,0.329,0.3297,0.0007
3,2.72,3.2922,0.5722
3,2.26,2.884,0.624
3,2.7,5.4531,2.7531
3,2.06,3.223,1.163
3,2.9,2.6364,0.2636
3,3.28,3.3879,0.1079
3,3.61,3.3567,0.2533
3,3.34,4.1104,0.7704
3,4.66,8.7304,4.0704
3,4.32,4.0978,0.2222
3,5.1,4.5964,0.5036
3,4.89,7.2299,2.3399
3,4.65,4.6622,0.0122
3,4.56,4.2069,0.3531
3,3.88,4.4711,0.5911
3,4.33,4.2676,0.0624
3,4.11,4.2676,0.1576
3,3.42,3.1653,0.2547
3,3.14,8.3406,5.2006
3,3.3,6.5351,3.2351
3,2.86,3.7121,0.8521
3,3.1,2.4676,0.6324
3,3.87,4.6208,0.7508
3,4.46,28.0397,23.5797
3,5.15,26.9205,21.7705
3,4.94,23.2951,18.3551
3,4.66,11.0207,6.3607
3,4.55,23.4429,18.8929
3,2.76,3.0419,0.2819
3,2.76,3.4604,0.7004
3,2.63,3.1653,0.5353
3,2.93,4.4166,1.4866
3,4.06,6.0968,2.0368
3,4.06,3.3567,0.7033
3,3.97,4.2694,0.2994
3,3.89,3.5469,0.3431
3,4.87,7.2167,2.3467
3,4.53,4.1883,0.3417
3,5.54,3.8605,1.6795
3,4.66,4.3189,0.3411
3,4.02,4.4372,0.4172
3,43.42,7.0451,36.3749
3,38.31,36.9666,1.3434
3,35.73,36.2231,0.4931
3,38.0,34.9391,3.0609
3,40.0,38.2732,1.7268
3,34.0,36.6632,2.6632
3,38.0,37.8179,0.1821
3,38.0,37.796,0.204
3,40.0,38.476,1.524
3,47.0,33.5327,13.4673
3,39.0,37.0973,1.9027
3,44.0,34.459,9.541
3,44.0,38.7183,5.2817
3,39.0,37.3839,1.6161
3,49.0,34.3403,14.6597
3,28.0,29.4573,1.4573
3,33.0,36.321,3.321
3,38.0,38.1781,0.1781
3,39.4,37.9823,1.4177
3,39.4,36.7588,2.6412
3,39.4,35.0061,4.3939
3,36.0,39.5083,3.5083
3,38.0,37.2527,0.7473
3,36.0,38.432,2.432
3,28.0,29.4647,1.4647
3,29.0,29.06,0.06
3,26.0,17.9198,8.0802
3,29.0,30.5577,1.5577
3,14.0,8.5751,5.4249
3,30.0,28.8731,1.1269
3,22.0,21.4705,0.5295
3,23.0,23.4627,0.4627
3,27.0,27.3873,0.3873
3,26.0,26.7259,0.7259
3,17.0,15.6186,1.3814
3,28.0,28.3795,0.3795
3,28.0,30.0814,2.0814
3,21.0,10.6439,10.3561
3,30.0,28.7423,1.2577
3,25.0,26.204,1.204
3,29.0,29.2643,0.2643
3,28.0,29.9982,1.9982
3,20.0,14.9553,5.0447
3,25.0,23.3616,1.6384
3,28.0,30.5552,2.5552
3,29.0,27.8492,1.1508
3,32.0,33.7168,1.7168
3,33.0,34.1824,1.1824
3,28.0,27.784,0.216
3,15.0,6.4113,8.5887
3,20.0,19.0202,0.9798
3,18.0,9.3767,8.6233
3,6.7,15.8002,9.1002
3,14.6,16.4098,1.8098
3,3.9,5.2714,1.3714
3,17.0,13.3356,3.6644
3,12.9,12.2556,0.6444
3,11.7,3.1078,8.5922
3,5.7,4.2793,1.4207
3,6.0,4.409,1.591
3,2.3,1.1599,1.1401
3,2.0,5.6726,3.6726
3,14.0,17.0783,3.0783
3,16.8312,15.0367,1.7945
3,17.4995,16.9031,0.5964
3,17.989,16.5978,1.3912
3,17.8253,16.5978,1.2275
3,22.5467,22.6663,0.1196
3,22.1892,20.6825,1.5067
3,22.945,22.8462,0.0988
3,20.5146,20.2703,0.2443
3,24.9725,24.8129,0.1596
3,22.44,25.4202,2.9802
3,18.871,18.7268,0.1442
3,19.3441,18.9285,0.4156
3,19.0021,18.8986,0.1035
3,21.3131,21.4294,0.1163
3,21.0207,20.623,0.3977
3,23.7611,24.3912,0.6301
3,24.1755,24.2241,0.0486
3,24.9558,23.6308,1.325
3,24.5557,25.3925,0.8368
3,20.6119,20.4779,0.134
3,22.44,21.0688,1.3712
3,20.2189,21.0211,0.8022
3,18.3334,18.9748,0.6414
3,16.8533,16.8294,0.0239
3,17.2627,16.9266,0.3361
3,18.2011,19.4325,1.2314
3,20.6066,20.5874,0.0192
3,20.3141,20.5078,0.1937
3,13.5802,12.189,1.3912
3,13.6342,14.4194,0.7852
3,14.1702,14.7489,0.5787
3,13.9909,14.6292,0.6383
3,26.0,13.7631,12.2369
3,43.0,45.6712,2.6712
3,37.0,45.0272,8.0272
3,30.5,35.686,5.186
3,25.0,28.0016,3.0016
3,31.0,34.1276,3.1276
3,35.0,35.531,0.531
3,49.5,45.2772,4.2228
3,29.0,33.5333,4.5333
3,31.0,22.7866,8.2134
3,8.78,8.1913,0.5887
3,8.76,8.8474,0.0874
3,6.3,5.8029,0.4971
3,6.71,5.8484,0.8616
3,8.92,8.6576,0.2624
3,7.4,6.407,0.993
3,4.15,3.2984,0.8516
3,2.63,3.1123,0.4823
3,3.26,3.0694,0.1906
3,2.51,4.6262,2.1162
3,3.63,3.183,0.447
3,4.13,3.3949,0.7351
3,3.13,2.7918,0.3382
3,1.75,2.2411,0.4911
3,1.75,2.2812,0.5312
3,3.0,2.7909,0.2091
3,8.0,7.1108,0.8892
3,7.0,6.2952,0.7048
3,10.0,8.129,1.871
3,10.0,8.129,1.871
3,8.0,7.1108,0.8892
3,8.0,7.1108,0.8892
3,8.0,7.1108,0.8892
3,8.0,7.1037,0.8963
3,6.4,7.886,1.486
3,6.25,6.4849,0.2349
3,6.11,5.1499,0.9601
3,11.17,11.6705,0.5005
3,10.33,9.007,1.323
3,10.14,9.3841,0.7559
3,11.83,12.9139,1.0839
3,9.03,8.5938,0.4362
3,8.39,8.2821,0.1079
3,4.88,4.7689,0.1111
3,5.71,5.4812,0.2288
3,6.2,5.7689,0.4311
3,8.12,11.1128,2.9928
3,6.38,6.3984,0.0184
3,5.89,4.9028,0.9872
3,3.26,3.0694,0.1906
3,1.88,2.4705,0.5905
3,2.38,2.6071,0.2271
3,2.83,3.5111,0.6811
3,3.4,4.0962,0.6962
3,3.4,2.8287,0.5713
3,3.13,2.7918,0.3382
3,1.75,2.2411,0.4911
3,28.29,23.1255,5.1645
3,9.51,13.1416,3.6316
3,6.8,5.1105,1.6895
3,2.5,2.6492,0.1492
3,4.0,3.6473,0.3527
3,4.0,3.4171,0.5829
3,2.2,2.735,0.535
3,4.69,4.3604,0.3296
3,4.95,5.4004,0.4504
